ID,MAT 1,MAT 2,MAT 3,MAT 4,MAT 5,MAT 6
233543,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
236276,9.7,9.3,9.7,8.1,7.1,#N/A
236548,7.4,9.2,9.2,8.2,8.3,#N/A
236771,7.9,6.2,6.6,7.4,6.1,#N/A
236886,7.9,8.0,7.3,6.3,5.8,#N/A
236929,7.4,7.6,6.7,6.6,6.4,#N/A
236984,8.2,9.6,9.1,8.8,8.1,#N/A
236994,7.0,8.4,#N/A,#N/A,#N/A,#N/A
236995,8.7,8.9,8.4,8.3,8.0,#N/A
237479,8.4,9.7,8.3,8.8,7.2,#N/A
237481,9.9,9.9,10,9.6,9.0,#N/A
237483,7.0,8.6,8.1,8.9,8.2,#N/A
237489,6.2,8.0,7.0,6.6,6.7,#N/A
237498,7.1,7.4,8.2,7.4,5.5,#N/A
237501,5.0,5.0,6.2,#N/A,#N/A,#N/A
232439,5.0,5.0,5.1,#N/A,#N/A,#N/A
232738,6.7,6.0,9.7,#N/A,#N/A,#N/A
234053,7.8,6.9,9.2,#N/A,#N/A,#N/A
235126,7.6,8.1,9.0,#N/A,#N/A,#N/A
235702,6.2,6.0,7.3,#N/A,#N/A,#N/A
236544,8.4,8.9,9.1,#N/A,#N/A,#N/A
236545,8.2,8.0,9.0,#N/A,#N/A,#N/A
236838,9.2,9.0,#N/A,8.4,7.3,#N/A
236941,8.7,8.5,#N/A,7.7,8.0,#N/A
237505,6.2,#N/A,5.0,#N/A,#N/A,#N/A
237519,9.6,#N/A,#N/A,#N/A,#N/A,#N/A
238276,7.3,#N/A,5.0,#N/A,#N/A,#N/A
239470,8.2,8.0,#N/A,7.0,7.9,#N/A
240539,9.0,6.6,9.7,#N/A,#N/A,#N/A
241257,8.8,9.1,9.3,#N/A,#N/A,#N/A
241925,8.7,8.8,#N/A,7.5,8.0,#N/A
239797,6.7,8.9,#N/A,#N/A,#N/A,#N/A
247037,6.6,#N/A,#N/A,#N/A,#N/A,#N/A
247039,9.3,#N/A,#N/A,#N/A,#N/A,#N/A
247214,9.4,#N/A,#N/A,#N/A,#N/A,#N/A
247356,10,#N/A,#N/A,#N/A,#N/A,#N/A
247370,#N/A,#N/A,#N/A,5.0,#N/A,#N/A
247623,8.8,#N/A,#N/A,#N/A,#N/A,#N/A
247685,6.0,#N/A,#N/A,#N/A,#N/A,#N/A
247689,8.1,#N/A,#N/A,#N/A,#N/A,#N/A
247760,#N/A,#N/A,5.4,#N/A,#N/A,#N/A
248323,9.3,#N/A,#N/A,#N/A,#N/A,#N/A
251482,7.4,#N/A,#N/A,#N/A,#N/A,#N/A
